Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1846.995411
FDW14,OUT017,1558.207968
NCN55,OUT010,1877.685099
FDQ58,OUT017,2574.665913
FDY38,OUT027,5179.239247
FDH56,OUT046,1925.46761
FDL48,OUT018,598.9664581
FDC48,OUT027,2782.405403
FDN33,OUT045,1527.122231
FDA36,OUT017,3072.718409
FDT44,OUT017,1978.26161
FDQ56,OUT045,1328.639092
NCC54,OUT019,1852.71254
FDU11,OUT049,2060.186727
DRL59,OUT013,893.1311152
FDM24,OUT049,2559.911959
FDI57,OUT045,3095.086286
DRC12,OUT018,2759.898733
NCM42,OUT027,3196.376207
FDA46,OUT010,1136.483493
FDA31,OUT013,2805.013346
NCJ31,OUT035,3877.296545
FDG52,OUT046,802.776418
NCL19,OUT019,363.3654772
FDS10,OUT035,3020.910125
FDX22,OUT010,1465.124484
NCF19,OUT035,928.1821798
NCE06,OUT046,2538.878802
DRC27,OUT046,3847.356483
FDE21,OUT035,2030.305077
NCR42,OUT019,-1359.221478
FDX51,OUT018,2869.419174
NCR06,OUT018,431.9264552
FDU31,OUT027,4945.640431
FDU59,OUT017,2699.291868
FDR03,OUT027,4752.929398
FDS49,OUT027,2756.489013
FDD48,OUT010,-64.85639286
NCF18,OUT017,3099.393711
NCD43,OUT027,3101.505831
NCD54,OUT018,1990.374326
FDY19,OUT010,-33.83732138
NCY54,OUT017,2800.805382
NCL19,OUT018,2019.673218
FDP23,OUT010,1538.443463
FDC26,OUT013,1823.326128
FDR14,OUT010,-1027.263274
NCS41,OUT035,3031.548546
FDF41,OUT035,4049.355438
FDU34,OUT046,1996.742931
DRH11,OUT046,932.663235
FDM03,OUT013,1737.356039
FDS31,OUT017,3010.00501
FDJ20,OUT017,2080.298322
FDV44,OUT027,4491.041084
FDG02,OUT049,3111.262281
FDA09,OUT013,2926.014294
FDT04,OUT013,677.2183213
FDL58,OUT019,2286.982451
FDE52,OUT045,1460.26341
FDW12,OUT035,2511.12994
FDL51,OUT017,3532.435825
NCY42,OUT027,3691.337155
FDR07,OUT017,1647.010304
FDN40,OUT045,2379.394432
FDB35,OUT027,2957.285877
FDA22,OUT017,2725.466635
NCL06,OUT046,4110.339382
FDI35,OUT013,2914.698978
NCW42,OUT045,3422.360062
NCX06,OUT049,2941.234902
FDC37,OUT027,3199.935058
FDZ14,OUT018,1736.812976
DRG49,OUT049,3957.616167
NCG06,OUT045,3968.241354
DRC36,OUT045,2736.375592
FDV21,OUT019,54.61954869
FDB53,OUT046,2352.916353
DRP47,OUT019,2032.441054
FDA14,OUT013,2347.108014
DRC24,OUT035,2571.701724
FDW21,OUT018,1410.403679
NCH29,OUT046,1558.094042
FDU58,OUT013,3078.907326
FDY27,OUT017,2922.34032
FDV56,OUT035,1954.415727
FDT59,OUT046,3655.198617
FDB23,OUT046,3617.551347
FDR49,OUT045,711.052232
FDB03,OUT010,1914.241271
FDN39,OUT045,2621.580176
FDX02,OUT027,4980.065033
FDQ16,OUT027,3191.568458
FDU35,OUT018,1332.386006
NCT29,OUT013,1963.572065
FDZ27,OUT046,823.7731491
FDN57,OUT017,2331.931135
FDA03,OUT018,2092.156371
FDZ36,OUT045,2939.024729
NCU05,OUT013,1328.626018
FDT39,OUT018,2193.55636
FDK60,OUT017,1693.745259
FDZ25,OUT017,2829.911484
FDG12,OUT046,2018.104947
DRB01,OUT019,1110.943992
NCC43,OUT027,5370.382816
FDX13,OUT019,2028.782467
FDM22,OUT049,1032.889687
FDJ03,OUT027,2310.486679
FDU14,OUT018,3664.428366
FDB33,OUT010,636.4732812
FDP27,OUT046,3013.423528
FDO38,OUT010,-665.6800033
FDE28,OUT027,5142.445584
FDO27,OUT035,1709.422085
DRL23,OUT027,3170.095345
FDS28,OUT046,971.2469192
FDX24,OUT013,1546.090709
FDZ02,OUT035,1758.226327
FDL46,OUT045,1823.422193
FDS60,OUT027,4296.495384
NCO06,OUT017,622.4902717
FDO16,OUT035,1540.36007
FDC60,OUT049,1553.112305
FDA48,OUT018,3196.510165
FDZ36,OUT027,4449.092395
FDK27,OUT045,1897.512054
FDW23,OUT018,389.7421551
FDM14,OUT018,1509.585882
FDM14,OUT013,1786.746126
FDW60,OUT018,2607.131468
FDE21,OUT013,1912.772301
NCM42,OUT035,1893.704619
FDY59,OUT010,-375.9431679
DRI49,OUT049,1379.387777
FDT28,OUT019,509.8507639
FDQ22,OUT018,407.9347445
FDR60,OUT049,1334.467925
FDC50,OUT019,-399.489632
FDV24,OUT013,2446.96283
DRF48,OUT010,1072.666363
FDQ47,OUT046,650.3319882
DRN36,OUT049,1660.076724
NCY06,OUT035,2179.028651
FDE52,OUT035,1652.23291
NCB54,OUT045,1958.252591
NCF31,OUT035,2557.722693
FDJ08,OUT027,4449.056359
NCC07,OUT017,1777.338244
NCD19,OUT027,2331.018281
FDL46,OUT049,2005.463808
FDM20,OUT045,3841.408989
NCI06,OUT010,932.0740827
DRM11,OUT035,4224.914206
NCH07,OUT018,2213.933374
FDS23,OUT013,2091.982084
FDO49,OUT018,600.2088567
FDS35,OUT049,1167.130973
DRK39,OUT045,1280.300821
DRI39,OUT049,1042.428133
FDV04,OUT017,2630.152587
NCN14,OUT035,3007.900146
FDH08,OUT013,3698.420252
FDS20,OUT046,2910.275393
FDV40,OUT049,1342.927594
FDZ48,OUT010,-141.2079969
FDS24,OUT027,2913.902885
FDK44,OUT049,2855.244679
FDS48,OUT045,2344.423568
FDK26,OUT010,1111.549099
FDD23,OUT045,2985.673503
NCH54,OUT017,2629.757147
NCP14,OUT010,-239.979372
FDM60,OUT010,-1189.715618
FDV24,OUT017,2496.513745
FDH08,OUT018,3356.000974
FDS12,OUT027,3468.363264
FDR39,OUT027,4313.212365
FDP12,OUT027,2124.575878
DRF60,OUT027,5171.206578
FDC09,OUT035,1854.979745
FDF50,OUT018,2863.894711
FDG28,OUT035,4046.517086
NCE19,OUT017,980.610309
NCM53,OUT010,-196.2486677
NCN18,OUT049,1859.919404
FDF32,OUT035,3300.707459
FDF11,OUT013,3868.288546
DRI59,OUT049,3651.680962
NCG54,OUT035,2812.035258
FDM44,OUT046,1645.390073
FDT57,OUT018,3466.568883
FDV24,OUT046,2405.841749
FDI50,OUT019,1754.795693
FDS09,OUT035,1044.994435
NCC31,OUT027,3896.080194
FDQ07,OUT019,1594.530451
FDC22,OUT017,3159.923415
FDZ56,OUT046,2700.215999
FDZ40,OUT019,-992.7081199
FDS46,OUT027,3396.414602
DRD24,OUT045,2183.51071
FDV45,OUT017,3092.260095
FDL26,OUT045,2423.783778
FDA56,OUT018,1713.957994
FDN27,OUT046,1899.322244
FDM20,OUT049,3976.558511
FDO16,OUT017,1453.869882
FDL03,OUT035,3295.668412
FDE58,OUT046,1879.516672
FDI02,OUT027,3284.707875
NCC55,OUT019,-1264.247097
FDR03,OUT018,3037.700162
FDB14,OUT017,1618.085147
FDR45,OUT013,3846.378601
NCN07,OUT017,2147.384742
FDM51,OUT019,-194.0533234
FDT52,OUT027,5362.328622
FDL26,OUT046,2454.028787
NCZ42,OUT046,3760.050526
DRI47,OUT019,422.88136
FDW40,OUT013,2318.357016
FDN34,OUT046,2730.550031
FDS01,OUT035,2992.70353
NCG55,OUT045,1790.103567
FDC11,OUT035,1544.856382
FDX35,OUT018,3346.823528
NCB06,OUT046,2518.85497
FDR09,OUT019,2191.597828
FDC53,OUT017,1672.829555
FDY45,OUT013,4056.075113
FDA22,OUT010,761.8038859
FDE02,OUT035,1678.626807
FDW21,OUT045,1634.885317
FDV34,OUT046,1260.944796
FDS59,OUT049,1903.469373
NCW17,OUT017,2118.096581
NCK54,OUT046,1863.775842
FDG17,OUT019,2007.711496
FDG35,OUT017,2876.594049
FDD08,OUT010,-1249.126407
NCO07,OUT017,3419.043306
FDJ10,OUT010,379.2057205
FDW36,OUT017,1770.523782
FDW21,OUT010,-225.6964053
FDY19,OUT017,1986.635564
DRE03,OUT013,813.7559729
NCC55,OUT049,728.7932727
FDH52,OUT010,-811.1544163
FDO09,OUT017,4290.048358
FDU43,OUT045,3768.108378
FDX09,OUT010,869.921917
FDH40,OUT019,-513.6343101
FDW58,OUT017,1783.146705
FDC47,OUT017,3667.647336
NCR41,OUT035,1656.714157
DRG49,OUT035,3997.362452
FDC52,OUT027,3932.277632
FDY13,OUT046,1228.958286
FDY35,OUT013,828.3644809
FDI35,OUT017,2979.882851
NCU18,OUT049,2332.573546
FDY33,OUT018,2282.677125
FDC15,OUT027,3931.878504
FDU01,OUT049,3096.633355
NCU42,OUT046,2681.043364
NCV29,OUT018,2529.915624
NCY30,OUT017,2969.722725
FDQ46,OUT049,1898.161086
FDG58,OUT027,3937.294989
FDK33,OUT017,3474.211717
NCD07,OUT045,1781.487321
NCX29,OUT027,3721.30585
NCT42,OUT013,2383.813658
DRN59,OUT035,904.6951899
FDI44,OUT035,1427.046177
FDA45,OUT049,2904.66585
FDP31,OUT045,1042.956598
FDY01,OUT046,1868.302344
FDT09,OUT018,1903.459449
DRH03,OUT027,2967.13653
FDA36,OUT018,2705.469166
NCF31,OUT017,2511.576525
FDG14,OUT049,2559.995179
FDG28,OUT027,5371.209829
FDU14,OUT049,4053.25825
FDY47,OUT019,242.4241376
FDI56,OUT049,1563.001555
DRD01,OUT013,996.7560721
FDM22,OUT046,954.8536412
FDH33,OUT013,736.1982186
DRZ24,OUT013,1915.762869
NCQ38,OUT046,1679.008157
FDO16,OUT027,2828.663051
FDU07,OUT027,3831.180028
NCB07,OUT013,3080.98742
FDU48,OUT045,2059.840961
NCM43,OUT045,2555.617162
FDR31,OUT010,443.6497524
DRK49,OUT018,414.7892095
NCI30,OUT010,1921.172713
DRD60,OUT017,2953.633865
NCG19,OUT046,3666.421874
FDH12,OUT035,1838.290723
FDM32,OUT035,1640.132979
FDM27,OUT035,2654.20955
NCU53,OUT027,4058.836687
NCQ18,OUT046,1556.099417
FDS10,OUT013,2880.074183
FDB33,OUT027,3969.201283
FDI12,OUT013,1463.008348
NCW42,OUT013,3504.585772
NCC06,OUT018,1762.969906
FDW02,OUT017,2159.27445
NCD43,OUT017,1757.414672
FDM57,OUT018,1115.863606
FDA58,OUT017,3824.011422
FDK56,OUT046,2925.140316
FDP52,OUT045,3638.352664
FDW20,OUT018,1718.150552
FDS52,OUT049,1738.347353
NCT29,OUT018,1621.097976
NCL54,OUT013,2805.304517
FDC05,OUT045,3122.108277
FDF34,OUT035,3323.074615
FDP03,OUT027,3487.260848
FDD32,OUT010,-510.0416138
FDZ10,OUT045,1986.023702
FDZ40,OUT035,1058.593693
FDD51,OUT018,454.5828595
NCY30,OUT019,937.8101919
FDP58,OUT017,3521.140056
