Constituency,Candidate,Party,Votes
Goa - Mandrem,DAYANAND RAGHUNATH SOPTE,Indian National Congress,16490
Goa - Mandrem,LAXMIKANT PARSEKAR,Bharatiya Janata Party,9371
Goa - Mandrem,SHRIDHAR LADU MANJREKAR,Maharashtrawadi Gomantak,678
Goa - Mandrem,DEVENDRA KRISHNAJI PRABHU PARSEKAR DESAI,Aam Aadmi Party,620
Goa - Mandrem,RAJENDRA M. SATELKAR,Nationalist Congress Party,234
Goa - Mandrem,SANJAY KRISHNARAO PRABHU DESAI,Independent,101
Goa - Mandrem,BHIM RAGHUVIR PEDNEKAR,Bahujan Mukti Party,57
Goa - Mandrem,None of the Above,None of the Above,415
Goa - Pernem,AJGAONKAR MANOHAR TRIMBAK,Maharashtrawadi Gomantak,15745
Goa - Pernem,RAJENDRA ARLEKAR,Bharatiya Janata Party,9715
Goa - Pernem,VIKESH RAMESH ASSOTIKAR,Indian National Congress,1013
Goa - Pernem,SHIVANAND KRISHNA PILARNKAR,Aam Aadmi Party,308
Goa - Pernem,GOPALDAS ANANT ARLEKAR,Goa Vikas Party,180
Goa - Pernem,SANTOSH SHANKAR MANDREKAR,Nationalist Congress Party,124
Goa - Pernem,NITIN MOHAN CHOPDEKAR,Bahujan Mukti Party,105
Goa - Pernem,DNYANESWAR SITARAM VARKHANKAR,Goa Praja Party,71
Goa - Pernem,None of the Above,None of the Above,469
Goa - Bicholim,RAJESH PATNEKAR,Bharatiya Janata Party,10654
Goa - Bicholim,NARESH SAWAL,Maharashtrawadi Gomantak,9988
Goa - Bicholim,MANOHAR PANDURANG SHIRODKAR,Indian National Congress,1761
Goa - Bicholim,SAINATH PATEKAR,Aam Aadmi Party,358
Goa - Bicholim,RAUT PANDURANG DATTARAM,Goa Praja Party,324
Goa - Bicholim,None of the Above,None of the Above,221
Goa - Tivim,NILKANTH RAMNATH HALARNKAR,Indian National Congress,11099
Goa - Tivim,KIRAN MOHAN KANDOLKAR,Bharatiya Janata Party,10304
Goa - Tivim,PRADEEP AMONKAR GHADI,Aam Aadmi Party,703
Goa - Tivim,DOUGLAS LAWRENCE SEQUEIRA,Nationalist Congress Party,275
Goa - Tivim,None of the Above,None of the Above,179
Goa - Mapusa,FRANCISCO C. J. A. DE PINTO E SOUZA,Bharatiya Janata Party,10957
Goa - Mapusa,VINOD FADKE,Maharashtrawadi Gomantak,4129
Goa - Mapusa,VIJAY LAXMAN BHIKE,Indian National Congress,3013
Goa - Mapusa,SHRADDHA KHALAP,Aam Aadmi Party,2321
Goa - Mapusa,DOMNIC ALPHONSO,Independent,1543
Goa - Mapusa,SANJAY VITHU BARDE,Nationalist Congress Party,289
Goa - Mapusa,RAMESHWARI MORAJKAR,Goa Su-Raj Party,103
Goa - Mapusa,None of the Above,None of the Above,409
Goa - Siolim,VINODA DATARAMA PALIENCAR,Goa Forward Party,10189
Goa - Siolim,DAYANAND RAYU MANDREKAR,Bharatiya Janata Party,8748
Goa - Siolim,VISHNU MHADDU NAIK,Aam Aadmi Party,1854
Goa - Siolim,PATRICK SAVIO ALMEIDA,Independent,1497
Goa - Siolim,PARESH RAIKAR,Goa Suraksha Manch,532
Goa - Siolim,ABHIJIT DHARGALKAR,Nationalist Congress Party,275
Goa - Siolim,JANARDAN NARAHARI TAMHANKAR,Bahujan Mukti Party,116
Goa - Siolim,MUKESH SAWANT,Independent,73
Goa - Siolim,None of the Above,None of the Above,212
Goa - Saligao,JAYESH VIDYADHAR SALGAONKAR,Goa Forward Party,9735
Goa - Saligao,DILIP PARULEKAR,Bharatiya Janata Party,7598
Goa - Saligao,AGNELO NICHOLAS FERNANDES,Indian National Congress,1616
