Year,Month,Sales
2011,Jan,154
2011,Feb,96
2011,Mar,73
2011,Apr,49
2011,May,36
2011,Jun,59
2011,Jul,95
2011,Aug,169
2011,Sep,210
2011,Oct,278
2011,Nov,298
2011,Dec,245
2012,Jan,200
2012,Feb,118
2012,Mar,90
2012,Apr,79
2012,May,78
2012,Jun,91
2012,Jul,167
2012,Aug,169
2012,Sep,289
2012,Oct,347
2012,Nov,375
2012,Dec,203
2013,Jan,223
2013,Feb,104
2013,Mar,107
2013,Apr,85
2013,May,75
2013,Jun,99
2013,Jul,135
2013,Aug,211
2013,Sep,335
2013,Oct,460
2013,Nov,488
2013,Dec,326
2014,Jan,346
2014,Feb,261
2014,Mar,224
2014,Apr,141
2014,May,148
2014,Jun,145
2014,Jul,223
2014,Aug,272
2014,Sep,445
2014,Oct,560
2014,Nov,612
2014,Dec,467
2015,Jan,518
2015,Feb,404
2015,Mar,300
2015,Apr,210
2015,May,196
2015,Jun,186
2015,Jul,247
2015,Aug,343
2015,Sep,464
2015,Oct,680
2015,Nov,711
2015,Dec,610
2016,Jan,613
2016,Feb,392
2016,Mar,273
2016,Apr,322
2016,May,189
2016,Jun,257
2016,Jul,324
2016,Aug,404
2016,Sep,677
2016,Oct,858
2016,Nov,895
2016,Dec,664
2017,Jan,628
2017,Feb,308
2017,Mar,324
2017,Apr,248
2017,May,272
