no,candidate,constituency,party,cases,education,total_assets,liabilities
1,A Hasiv,ARYA NAGAR,BSP,0,12th Pass,39424827,5846335
2,A Wahid,GAINSARI,IND,0,10th Pass,75106,0
3,Aan Shikhar Shrivastava,GOSHAINGANJ,Satya Shikhar Party,0,Graduate,41000,0
4,Aaptab Urf Aftab,MUBARAKPUR,Islam Party Hind,0,Illiterate,20000,0
5,Aashi Gaur,KHATAULI,Lok Dal,0,Literate,3468543,0
6,Aashif Beg,BARKHERA,IND,0,Not Given,1330000,0
7,Aatma Ram,PURQAZI (SC),IND,1,12th Pass,2326259,0
8,Aatmaram,TULSIPUR,Bharatiya Subhash Sena,0,Literate,782500,0
9,Abbas Ahmad,MARIYAHU,Ittehad-E-Millait Council,1,Literate,1131432,0
10,Abbas Ali Zaidi Urf Rushdi Miyan,RUDAULI,SP,0,Graduate,22277366,1675000
11,Abbas Ansari,GHOSI,BSP,0,12th Pass,44176635,0
12,Abbas Mehandi,AYAH SHAH,Peace Party,0,12th Pass,503000,0
13,Abdul Aziz,BILGRAM MALLANWAN,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,7580000,0
14,Abdul Kalam,GAURA,BSP,2,Graduate,22873529,0
15,Abdul Latif,VISHWANATH GANJ,VANCHITSAMAJ INSAAF PARTY,0,5th Pass,148000,0
16,Abdul Mabood,SULTANPUR,Apna Desh Party,0,10th Pass,1053000,0
17,Abdul Mannan,SANDILA,SP,0,Graduate,25422000,3000000
18,Abdul Maroof Khan,LUCKNOW CENTRAL,INC,0,Graduate,84947076,4200000
19,Abdul Mashhood Khan Masood,TULSIPUR,SP,0,12th Pass,24524634,306500
20,Abdul Rahman,TULSIPUR,IND,0,Literate,1508900,0
21,Abdul Rauf,BILGRAM MALLANWAN,RLD,0,8th Pass,944000,0
22,Abdul Rauk,MORADABAD NAGAR,Peace Party,2,Literate,2389047,1000000
23,Abdul Samad Ansari,VARANASI NORTH,INC,8,10th Pass,34752230,0
24,Abdul Sattar,AKBARPUR-RANIYA,Bahujan Mukti Party,0,8th Pass,685000,0
25,Abdul Wahab,MEERUT,IND,0,Graduate Professional,70279000,0
26,Abdul Waheed,NANPARA,BSP,0,Graduate,9862100,490186
27,Abdul Waris Khan,THANA BHAWAN,BSP,0,Graduate Professional,58806919,17974
28,Abhay Kumar Urf Dhiraj Ojha,RANIGANJ,BJP,4,Graduate Professional,14605971,1425948
29,Abhay Nath Tripathi,DEORIA,BSP,0,Post Graduate,14750201,2521459
30,Abhay Singh,GOSHAINGANJ,SP,8,Graduate,52962105,1150442
31,Abhijeet Singh Sanga,BITHOOR,BJP,10,Graduate,44274840,390000
32,Abhimanyu,PIPRAICH,IND,0,Graduate,196000,0
33,Abhimanyu Singh,BINDKI,INC,0,Graduate,162589720,0
34,Abhinav Srivastava,ALLAHABAD NORTH,IND,0,12th Pass,912132,288000
35,Abhishek,NAUTANWA,Jan Adhikar Party,0,12th Pass,2679090,0
36,Abhishek Dwivedi,MANIKPUR,Swabhiman Party,2,Graduate Professional,7508000,1100000
37,Abhishek Kumar,JAUNPUR,Sarv Sambhaav Party,0,Others,8160000,0
38,Abhishek Kumar Singh,VARANASI SOUTH,Jan Adhikar Party,0,Graduate,384637,0
39,Abhishek Mishr,LUCKNOW NORTH,SP,0,Doctorate,21474262,925000
40,Abhishek Patel,BILGRAM MALLANWAN,Bhartiya Krishak Dal,0,Graduate,328088,0
41,Abhishek Singh,GONDA,IND,0,12th Pass,40000,0
42,Abhishesh,SADAR,IND,0,Post Graduate,581000,0
43,Abid,THAKURDWARA,IND,1,10th Pass,3629864,0
44,Abid Ali,ATRAULI,IND,0,8th Pass,1852000,0
45,Abid Ansari,BARHAPUR,IND,0,Literate,12404199,0
46,Abid Raza Khan,BADAUN,SP,0,Graduate,59778561,1124000
47,Abinav Raj,BADAUN,IND,0,Graduate,145000,0
48,Abrar Ahmad,ISAULI,SP,0,8th Pass,7097759,900000
49,Abu Shad,PHOOLPUR PAWAI,IND,1,12th Pass,5346000,2490000
50,Abul Qais,PHOOLPUR PAWAI,BSP,0,10th Pass,6963184,0
51,Acharya Subhash Chandra Tripathi,BINDKI,Akhil Bhartiya Swarajya Dal,0,Post Graduate,806644,0
52,Achchhe Lal,TINDWARI,Jan Adhikar Party,0,Literate,16218200,0
53,Achelal,PHOOLPUR PAWAI,IND,0,Literate,336000,0
54,Adesh,KHATAULI,Bharatiya Bahujan Parivartan Party,0,8th Pass,43110,0
55,Adesh Kumar,CHARTHAWAL,IND,0,Literate,2821000,0
56,Adesh Kumar,MEERAPUR,IND,0,Post Graduate,9641405,70000
57,Adesh Kumar,MOHAMMDI,Jan Adhikar Manch,0,8th Pass,590429,0
58,Adhivakta Rajeev Kashyap,KATRA,BSP,0,Post Graduate,8119359,703990
59,Adil Akhtar,GORAKHPUR RURAL,CPI,0,Graduate Professional,5260100,0
60,Adil Shaikh,DIDARGANJ,SP,0,12th Pass,21528120,0
61,Adim Ali Shah,TIRWA,Voters Party International,0,Post Graduate,61270,0
62,Aditi Singh,RAE BARELI,INC,0,Post Graduate,1398456,4490234
63,Aditya Pandey,JAHANABAD,RLD,5,Post Graduate,45744230,5473210
64,Adya,CHAURI-CHAURA,RLD,0,Graduate Professional,12732965,145000
65,Afak Ali Khan,KANTH,RLD,0,10th Pass,9298897,35000
66,Afatab Alam Urf Guddu Bhaiya,PIPRAICH,BSP,1,Graduate,39700218,10023062
67,Afiroj,UTRAULA,IND,0,5th Pass,708040,0
68,Afzal,MEERUT,United Democratic Front Secular,2,8th Pass,121000,0
69,Afzal Kausar,BISWAN,SP,0,Post Graduate,4367711,0
70,Agam Kumar Maurya,AONLA,BSP,0,Graduate Professional,9315009,470541
71,Aganoo,MARIYAHU,IND,0,12th Pass,4616000,0
72,Agyaram,TANDA,Most Backward Classes Of India,0,5th Pass,285000,0
73,Agyash Ramsaran Verma,BISALPUR,BJP,7,Graduate Professional,10737600,290000
74,Ahmad Ali,RAMPUR,IND,0,Graduate Professional,1532667,25000
75,Ahmed Hameed,BAGHPAT,BSP,0,Post Graduate,254088021,322906
76,Ahtsham Ali (Babar),FIROZABAD,All India Majlis-E-Ittehadul Muslimeen,2,12th Pass,1501000,0
77,Aijaj Ahmad,NAUTANWA,BSP,0,12th Pass,523068789,2170638
78,Aizaz Ahmad,THAKURDWARA,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,1131294,0
79,Ajaj Ahamad,BHOJPUR,IND,0,Graduate,1043905,0
80,Ajay,BARA (SC),SP,0,Graduate,27966513,0
81,Ajay,SAGRI,IND,0,Post Graduate,161000,0
82,Ajay Govind Rao,KHADDA,SHS,0,12th Pass,771106,0
83,Ajay Gupta,SHIVPUR,RPI(A),0,8th Pass,133000,0
84,Ajay Kapoor,KIDWAI NAGAR,INC,1,Graduate,313990086,91529107
85,Ajay Kumar,SAMBHAL,IND,0,12th Pass,21600000,500000
86,Ajay Kumar,KHURJA (SC),Rashtravadi Pratap Sena,0,12th Pass,617000,0
87,Ajay Kumar,SORAON (SC),IND,5,12th Pass,845000,0
88,Ajay Kumar,BHONGAON,Voters Party International,0,Graduate,868000,0
89,Ajay Kumar,ALLAHABAD NORTH,RPI(A),0,Graduate,1321038,0
90,Ajay Kumar,KARACHHANA,IND,0,Literate,120000,0
91,Ajay Kumar,ASMOLI,IND,0,Not Given,17055000,0
92,Ajay Kumar,FIROZABAD,Jan Adhikar Manch,0,10th Pass,790000,0
93,Ajay Kumar,KASGANJ,BSP,0,12th Pass,378031808,1255410
94,Ajay Kumar,DHANGHATA (SC),IND,0,10th Pass,371496,0
95,Ajay Kumar,BARHAPUR,Gareeb Kranti Part,0,8th Pass,1462500,0
96,Ajay Kumar,SITAPUR,IND,0,Graduate,2722000,0
97,Ajay Kumar,HARRAIYA,BJP,1,Post Graduate,74210574,6500000
98,Ajay Kumar,MENHDAWAL,IND,0,12th Pass,1613000,0
99,Ajay Kumar,GORAKHPUR URBAN,Sarvodaya Bharat Party,0,Graduate,7607164,400000
100,Ajay Kumar,PADRAUNA,IND,4,Post Graduate,1863000,0
101,Ajay Kumar,PANIYRA,Lok Dal,0,Graduate,305000,0
102,Ajay Kumar,MIRZAPUR,IND,0,8th Pass,61000,0
103,Ajay Kumar Lallu,TAMKUHI RAJ,INC,16,Post Graduate,329072,557722
104,Ajay Kumar Sharma,RASARA,IND,0,Graduate Professional,1509408,0
105,Ajay Kumar Singh,VARANASI CANTT.,Samajwadi Janata Party (ChandraShekhar),0,Post Graduate,66691,0
106,Ajay Kumar Srivastava,LUCKNOW NORTH,BSP,1,Graduate,29154962,3612567
107,Ajay Pal Singh,UNCHAHAR,INC,1,Graduate,238377151,44900305
108,Ajay Pal Singh,MURADNAGAR,RLD,3,12th Pass,85990212,3790000
109,Ajay Prakash,MISRIKH (SC),Bharatiya Subhash Sena,0,12th Pass,675000,0
110,Ajay Pratap Singh,SAWAYAZPUR,IND,0,Post Graduate,1424825,0
111,Ajay Pratap Singh,COLONELGANJ,BJP,1,12th Pass,490562192,15000000
112,Ajay Pratap Singh,KATEHARI,Nirbal Indian Shoshit Hamara Aam Dal,11,Post Graduate,4145968,200000
113,Ajay Pushpa Rawat,MOHANLALGANJ (SC),IND,0,Graduate,8818753,0
114,Ajay Rai,PINDRA,INC,0,Graduate,11141579,0
115,Ajay Rav,HATA,Nirbal Indian Shoshit Hamara Aam Dal,0,Graduate,11405000,0
116,Ajay Shankar Dubey,MUNGRA BADSHAHPUR,INC,0,Post Graduate,42049447,3811766
117,Ajay Singh,MARIHAN,IND,0,5th Pass,483000,0
118,Ajay Singh Bhadoriya,BHOGNIPUR,Nirbal Indian Shoshit Hamara Aam Dal,0,Post Graduate,25541500,8110000
119,Ajeet,GUNNAUR,IND,0,Not Given,157000,0
120,Ajeet Kumar,GUNNAUR,BJP,0,12th Pass,17534467,0
121,Ajeet Kumar,BAKSHI KAA TALAB,IND,0,10th Pass,2597200,0
122,Ajeet Kumar Patel,KARACHHANA,IND,0,12th Pass,1785000,0
123,Ajeet Pratap Kushwaha,JANGIPUR,Jan Adhikar Manch,0,Graduate Professional,9307539,915618
