Year,Month,,BMW Stock Price,RWE Stock Price,VW Stock Price,KAR Stock Price,Siemens Stock Price,BASF Stock Price
1981,Jan,1981 Jan,71.6418619,90.84078095,101.2037429,142.1250429,180.7202524,67.26707619
1981,Feb,1981 Feb,72.05811,90.234885,100.461085,133.050295,171.69421,65.86413
1981,Mar,1981 Mar,74.68533182,89.12219545,109.2011455,132.1210636,173.0171273,70.80404091
1981,Apr,1981 Apr,83.580045,91.74712,114.59591,140.43285,181.780905,72.375145
1981,May,1981 May,83.37451053,89.38947895,111.6016579,142.9211211,179.1994632,70.60522632
1981,Jun,1981 Jun,91.27831053,91.53807368,117.5102737,152.9897842,174.6790368,74.62443158
1981,Jul,1981 Jul,97.45103478,92.63656087,117.676313,166.5837043,177.2588522,79.56277826
1981,Aug,1981 Aug,94.65274286,89.63421905,111.9122905,152.2869476,162.581281,85.07949524
1981,Sep,1981 Sep,93.93266364,89.37368182,100.4475318,154.5187136,160.6980318,81.39155
1981,Oct,1981 Oct,90.66643636,91.71268182,93.30756818,155.5459045,157.6501364,78.72579545
1981,Nov,1981 Nov,93.68621,92.665645,92.94591,155.296835,143.44994,78.00727
1981,Dec,1981 Dec,99.13343,92.02644,98.60104,143.17084,145.754705,80.55095
1982,Jan,1982 Jan,96.555955,91.980765,97.725935,136.4469,145.34047,77.5519
1982,Feb,1982 Feb,103.414115,93.5036,106.63519,135.730565,152.714945,77.177755
1982,Mar,1982 Mar,107.8030217,94.29603478,108.2717348,141.4431043,159.2472304,77.01545217
1982,Apr,1982 Apr,105.39698,96.3126,106.594725,140.246425,164.06579,79.123945
1982,May,1982 May,103.0487737,94.26468947,109.8285,141.5955368,162.1235316,75.04195789
1982,Jun,1982 Jun,102.69353,92.90387,107.263935,150.430175,158.387825,71.17886
1982,Jul,1982 Jul,106.5299455,95.65494091,106.7579591,158.8188455,161.5676955,72.42207727
1982,Aug,1982 Aug,105.6450409,95.36555455,106.0007591,163.7978,162.0284636,70.7085
1982,Sep,1982 Sep,113.0176818,99.88322727,101.4671136,169.1553182,176.4754318,69.89798636
1982,Oct,1982 Oct,116.5018429,103.8829619,100.5921952,161.5875429,180.0415952,70.35299048
1982,Nov,1982 Nov,121.4873048,103.7058905,100.4036619,146.5542,180.1395238,68.80461429
1982,Dec,1982 Dec,130.6369714,106.6142524,107.3793095,152.7454571,187.3764524,71.52235238
1983,Jan,1983 Jan,131.3915905,107.4379238,110.2181619,147.7620857,185.1168762,74.2841619
1983,Feb,1983 Feb,148.18009,108.67297,124.347825,155.928605,198.001325,76.73971
1983,Mar,1983 Mar,166.6279391,121.0438304,130.2249826,192.1784304,224.9340783,81.19223478
1983,Apr,1983 Apr,190.0829632,123.1874263,136.4544947,209.2781947,256.6132158,91.70933158
1983,May,1983 May,194.179755,117.648655,133.03512,201.05083,264.693685,89.567205
1983,Jun,1983 Jun,202.1469,112.926955,138.38378,192.94381,265.708165,89.90347
1983,Jul,1983 Jul,233.127219,111.6523238,151.2454048,199.0060238,281.037219,96.47325238
1983,Aug,1983 Aug,226.9682391,109.3898696,164.970187,207.5673043,270.6051522,97.92163913
1983,Sep,1983 Sep,226.2624045,109.4368409,164.20445,199.1849182,264.4780182,95.7799
1983,Oct,1983 Oct,236.883319,115.3267333,172.0309429,210.9804381,286.8231095,100.172119
1983,Nov,1983 Nov,251.5911952,112.7781095,165.236581,226.380281,297.6553952,106.0295619
1983,Dec,1983 Dec,255.579215,114.56871,157.410555,221.572235,294.769135,108.538055
1984,Jan,1984 Jan,255.7680545,119.6874227,171.2783045,218.3205318,301.3575727,111.9726591
1984,Feb,1984 Feb,254.5469762,118.2093381,163.8189762,203.6933857,310.0075238,107.9565905
1984,Mar,1984 Mar,243.0282,113.6064045,158.3384045,199.9342273,314.4962136,105.3815818
1984,Apr,1984 Apr,238.1992263,112.6197632,157.216,206.7388211,315.6910579,104.9986211
1984,May,1984 May,230.8808143,111.788619,146.7387905,204.2562048,313.4826143,105.7791429
1984,Jun,1984 Jun,231.5805789,110.8200263,143.0824737,195.9427053,307.9642895,104.1277737
1984,Jul,1984 Jul,224.4621682,107.2202227,132.4516273,181.3907045,297.4746455,101.2352773
1984,Aug,1984 Aug,237.2366957,108.373813,134.2801435,188.0639304,311.3882522,103.267013
1984,Sep,1984 Sep,237.43581,110.287885,133.21785,193.059275,330.880385,104.29213
1984,Oct,1984 Oct,236.7221565,112.8849,142.3441,189.0291652,353.9264261,110.6904435
1984,Nov,1984 Nov,231.5945905,114.1574048,149.6646381,196.8725095,361.5733476,114.3682619
1984,Dec,1984 Dec,228.7713235,112.9503706,152.7811647,196.8664471,364.5297765,119.5642118
1985,Jan,1985 Jan,232.5714591,115.0919136,155.5316864,189.1295909,392.3891864,122.4109
1985,Feb,1985 Feb,227.795625,111.08257,147.189095,171.908805,426.707955,126.6503
1985,Mar,1985 Mar,237.4179095,110.7933429,152.6376381,170.6686286,458.8178286,139.7916048
1985,Apr,1985 Apr,229.083875,113.52973,156.05912,174.69787,458.92551,137.738095
1985,May,1985 May,230.71727,117.01392,175.169635,182.468015,464.42501,141.033835
1985,Jun,1985 Jun,258.2735722,126.8564111,224.3181,183.6808833,486.6027667,149.9110667
1985,Jul,1985 Jul,264.6343783,129.9132652,238.1796217,193.7306043,468.4717522,154.9803565
1985,Aug,1985 Aug,277.76365,134.9623591,245.5487773,203.9904545,462.5097409,155.1298318
1985,Sep,1985 Sep,310.0753095,143.9796095,259.6476238,223.0586762,495.0375571,160.5277619
1985,Oct,1985 Oct,315.4844739,154.4408957,265.8198174,234.8941609,537.7264348,180.4162652
1985,Nov,1985 Nov,363.092785,145.91969,313.580895,252.762165,563.8406,187.190855
1985,Dec,1985 Dec,355.4775611,138.7279389,328.7737889,271.4741333,572.4713389,188.7192333
1986,Jan,1986 Jan,394.1940864,157.4407182,410.0217,291.8490773,667.2361273,194.69725
1986,Feb,1986 Feb,363.838625,170.805235,405.66538,291.0766,642.782775,203.016285
1986,Mar,1986 Mar,338.4218947,178.4532474,437.2305737,315.9144263,609.6529632,224.5933316
1986,Apr,1986 Apr,365.5293727,194.8627227,492.6883591,311.5833045,606.5500909,226.4594318
1986,May,1986 May,363.0240278,177.7627833,444.6659278,279.1548056,538.6801611,201.4706389
1986,Jun,1986 Jun,368.09145,170.361315,420.151345,279.41389,544.69779,200.367365
1986,Jul,1986 Jul,363.5523391,151.1530174,366.6675174,297.8991435,524.386687,183.463587
1986,Aug,1986 Aug,420.1972,166.8574714,393.0158524,358.229019,584.2325429,193.2929714
1986,Sep,1986 Sep,460.1352773,161.0271136,413.7976955,368.3665818,594.4751045,204.9261227
1986,Oct,1986 Oct,447.2825435,162.4316435,393.2505304,390.9743478,600.4029957,199.301313
1986,Nov,1986 Nov,429.6432737,181.6891895,366.2541579,400.7856789,614.7829632,200.6701947
1986,Dec,1986 Dec,440.7707789,181.0242579,355.4761105,411.0407526,645.4531737,202.0730158
1987,Jan,1987 Jan,389.6465571,173.6245143,318.8760333,392.0506857,609.3101857,189.7859952
1987,Feb,1987 Feb,364.98325,174.293005,280.14368,375.862605,560.71628,181.27852
1987,Mar,1987 Mar,360.4302682,170.7727909,282.4323227,351.1278636,564.4911773,188.4485773
1987,Apr,1987 Apr,405.146095,178.03901,289.29829,359.04298,620.124775,201.14767
1987,May,1987 May,430.4464947,177.1738632,295.8300211,361.4449684,616.0534684,202.6024737
1987,Jun,1987 Jun,475.8968684,169.9062263,323.8885474,374.6383211,629.6035895,218.0168263
1987,Jul,1987 Jul,528.8790304,177.1243,344.1671652,420.0177304,603.2672609,234.2289478
1987,Aug,1987 Aug,571.0379286,202.993481,340.0035762,471.1917238,601.3714095,255.2321905
1987,Sep,1987 Sep,567.8443545,194.7146636,332.9754682,488.2670955,576.0280727,254.7597136
1987,Oct,1987 Oct,494.32295,182.1398636,291.2148545,463.4423182,530.2504318,237.9610455
1987,Nov,1987 Nov,338.19849,175.029055,215.67183,386.71574,359.293755,194.37555
1987,Dec,1987 Dec,338.16058,171.927885,193.852115,389.18383,329.21073,193.6396
1988,Jan,1988 Jan,359.591685,166.649575,177.961345,326.360915,303.64587,180.657955
1988,Feb,1988 Feb,389.8222762,168.0378619,191.8482619,333.5596762,326.5604143,177.9948667
1988,Mar,1988 Mar,394.7813,169.5123783,204.8325696,376.7950304,337.216787,186.0405565
1988,Apr,1988 Apr,388.8496684,170.3623158,205.2283737,396.7718105,322.3477684,187.4069316
1988,May,1988 May,379.83282,159.65572,202.095215,385.04754,306.07171,183.878705
1988,Jun,1988 Jun,397.88725,175.78286,216.33904,371.603505,354.5372,196.635815
1988,Jul,1988 Jul,399.8097429,189.2126333,226.0822429,370.5641476,383.7128,202.596319
1988,Aug,1988 Aug,380.7641696,189.2773043,218.5885652,356.0662739,389.7701609,205.9478609
1988,Sep,1988 Sep,389.4862591,193.7856136,226.9849182,386.9727636,410.3184955,211.1858136
1988,Oct,1988 Oct,407.1611238,193.6127333,262.2863286,396.4884143,440.4188857,219.8411952
1988,Nov,1988 Nov,407.9925476,197.1021952,273.467181,369.3333333,433.130381,218.2222619
1988,Dec,1988 Dec,405.5389,190.23257,295.739265,346.181815,462.54864,222.60203
1989,Jan,1989 Jan,406.6782182,193.0175364,298.4389364,366.9374818,489.5885909,225.8074591
1989,Feb,1989 Feb,394.65546,207.673065,279.31833,373.10454,474.56301,229.3779
1989,Mar,1989 Mar,398.7544429,209.2296905,298.8706048,373.1567571,476.8013429,226.3019238
1989,Apr,1989 Apr,403.7153,229.265175,308.229375,404.548605,494.700465,237.82211
1989,May,1989 May,398.1301211,240.5293053,311.2952526,444.1559158,489.4553526,239.7856211
1989,Jun,1989 Jun,438.4414,261.5933409,363.6752091,481.9586545,519.8301636,245.8109591
1989,Jul,1989 Jul,461.778881,279.8138762,383.9675286,526.2458905,552.4260095,240.6177143
1989,Aug,1989 Aug,488.1780174,289.1275522,420.7415652,532.9637435,558.9555783,244.7867565
1989,Sep,1989 Sep,504.518119,296.7967524,430.6049619,575.0275762,558.8522429,243.2607429
1989,Oct,1989 Oct,460.2521045,272.9800818,405.3076318,550.6626364,525.0633227,229.9492409
1989,Nov,1989 Nov,420.1197333,281.4687619,398.7979619,542.4437905,530.3863,221.7020333
1989,Dec,1989 Dec,432.7676,337.9296278,456.5112389,578.2521778,609.5269333,232.1777222
1990,Jan,1990 Jan,445.8456227,375.49885,487.9027455,598.3843227,673.3053409,247.1542045
1990,Feb,1990 Feb,502.32566,385.394425,502.71181,582.949805,703.874085,251.183005
1990,Mar,1990 Mar,501.0581727,398.1866864,524.1845545,581.9909409,725.5183182,254.0361818
1990,Apr,1990 Apr,476.1391737,417.3551211,539.9142421,603.2051474,725.6928579,252.2168895
1990,May,1990 May,478.4131048,422.1983048,545.5336048,606.7671857,701.3401238,244.8715905
1990,Jun,1990 Jun,478.3759421,418.1106684,564.3863105,597.0240579,687.7330526,241.6295
1990,Jul,1990 Jul,491.6422727,424.1295136,578.6182773,656.5227091,721.3218545,238.0116545
1990,Aug,1990 Aug,418.3487348,364.0560826,485.7575043,606.3167739,622.8669565,215.0222348
1990,Sep,1990 Sep,375.37432,343.506665,402.455055,576.06206,544.577645,189.01438
1990,Oct,1990 Oct,349.4738455,344.9485409,371.8465545,573.3765773,539.3705955,179.0551318
1990,Nov,1990 Nov,337.045481,356.5439048,326.042819,600.1241429,565.310281,169.9341476
1990,Dec,1990 Dec,345.4363529,363.1636,330.2904647,558.7279118,576.4765882,183.7162706
1991,Jan,1991 Jan,314.2159318,321.9329409,306.3026364,517.7313818,544.0747364,175.5393273
1991,Feb,1991 Feb,368.704035,355.253615,332.633275,508.537355,581.486205,194.129175
1991,Mar,1991 Mar,412.630205,342.170665,341.41088,494.510505,574.655805,203.8365
1991,Apr,1991 Apr,460.8728952,352.2990476,345.3906238,544.2802286,574.750419,212.562581
1991,May,1991 May,470.6490211,359.4807632,349.4683263,577.4986263,590.6868579,216.6819789
1991,Jun,1991 Jun,489.83656,368.99159,380.248205,602.19342,631.78529,219.21539
1991,Jul,1991 Jul,462.6307478,343.2897174,359.2309,578.1834217,621.8595261,217.2408783
1991,Aug,1991 Aug,490.3410136,338.3879,354.2519455,577.5557591,628.0166409,218.1939364
